url,title,department
http://static.sse.com.cn/stock/information/c/202001/699f30c83a824233870d7f085ff4ba08.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/420ab7b6fac849a9af58bb81db7745eb.pdf,8-2-2会计师回复意见（二）（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/c83dc520f2a64c6dbb97b5614741874e.pdf,8-1-9  关于中科星图股份有限公司首次公开发行股票并在科创板上市的科创板上市委审议意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/0845b343675b4609b708e25e0e71f086.pdf,8-2 容诚会计师事务所（特殊普通合伙）关于埃夫特第二轮审核问询函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/491ce93a7f744ab5822a3e164126e442.pdf,8-3 补充法律意见书（一）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/894c025eb847421a95655d451834211b.pdf,8-3-5 律师补充法律意见书（五）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/a3ddf0eee00746fbac0816012a251814.pdf,8-1-3 发行人及保荐机构第三轮回复意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/081c186137e14ed5ad88943214dead98.pdf,8-1-1 发行人及保荐机构关于审核问询函的回复（2019年度财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/1d609bf3c2fc465fb63580aaf970fa12.pdf,8-1-3 发行人及保荐机构关于第三轮审核问询函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/e6a10d8824bb424e90e0ba80131fb8ae.pdf,北京德恒律师事务所关于北京天智航医疗科技股份有限公司首次公开发行A股股票并在科创板上市的补充法律意见书（二）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/eb95a083542e44059608b11166b110ba.pdf,8-1-1 江苏固德威电源科技股份有限公司及东兴证券股份有限公司关于第一轮审核问询函之回复报告,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/dfb0c52af31d46e99892c12468af3aec.pdf,8-1-1 发行人及保荐机构关于审核问询函的回复（2019年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/f3bde04dfe6d47bc91b439d624ff95bb.pdf,8-2-2 申报会计师关于第二轮审核问询函的回复意见（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/4f76841562eb495fa4161c9ffa78100e.pdf,8-2 会计师回复意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/dec5a458afdf408bafb3a97868bf90a4.pdf,8-2 普华永道中天会计师事务所对北京键凯科技股份有限公司审核问询函所做回复的专项意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/67afca1eb21b4b5dbec48fc0259a7e95.pdf,8-2-3 申报会计师关于第三轮审核问询函的回复意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/1f5d4faf06f8408ba5adfbd1af734452.pdf,8-1 发行人及保荐机构回复意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/88db4f98830f457cb8f82a0a738ba4d6.pdf,8-2 会计师第三轮审核问询函回复意见（审核中心意见落实函更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/b30e60c984484873b807fd85ca9f5c6c.pdf,8-2 会计师第二轮审核问询函回复意见（审核中心意见落实函更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/f498436bb1c84197aa1a9d07606a71f5.pdf,北京天智航医疗科技股份有限公司及中信建投证券股份有限公司关于第二轮审核问询函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/d791bb82e9984c6a9ac8f71757e6b51d.pdf,8-3 发行人律师补充法律意见书（四）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/bc91d353cecb4097a6a1c6c481cec117.pdf,8-3 补充法律意见书（三）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/4ea8de67ebe64406a7511e8778a6202f.pdf,8-3 北京市中伦律师事务所关于青岛高测科技股份有限公司首次公开发行股票并在科创板上市的补充法律意见书（二）,上海证券交易所-科创板股票审核
